officeID,1_x,1_y,1_angle,2_x,2_y,2_angle,3_x,3_y,3_angle,4_x,4_y,4_angle,5_x,5_y,5_angle,size_x,size_y
1,4.76,2.18,180,3.285,3.16,270,1.835,3.16,270,1.435,1.241,90,2.885,1.241,90,6,5.5
2,3.78,1.265,90,4.76,2.74,180,4.76,4.19,180,2.84,4.59,0,2.84,3.14,0,6,5.5
3,5.016,0.94,0,5.016,2.39,0,5.016,3.84,0,0.985,1.99,180,0.985,0.54,180,6,5.5
4,5.034,4.515,90,3.59,4.515,90,2.54,0.984,270,3.99,0.984,270,5.44,0.984,270,6,5.5
5,4.19,3.575,90,2.74,3.575,90,1.31,1.266,90,2.76,1.266,90,4.21,1.266,90,6,5.5
6,4.734,0.81,180,4.734,2.26,180,4.734,3.71,180,2.984,2.26,180,2.984,0.81,180,6,5.5
7,1.266,2.29,0,3.14,3.059,270,4.59,3.059,270,4.21,1.141,90,2.76,1.141,90,9,4
8,0.56,3.016,90,2.01,3.016,90,0.94,0.984,270,2.39,0.984,270,3.84,0.984,270,9,4
9,1.266,2.39,0,1.266,0.94,0,3.016,2.39,0,3.016,0.94,0,4.766,0.94,0,9,4
10,1.25,3.02,0,3.125,3.96,270,4.575,3.96,270,4.175,2.04,90,2.725,2.04,90,7,6
11,2.705,1.265,90,3.685,2.74,180,3.685,4.19,180,1.766,4.59,0,1.766,3.14,0,7,6
12,6.016,4.59,0,6.016,1.69,0,0.984,4.21,180,0.984,2.76,180,0.984,1.31,180,7,6
13,0.56,5.016,90,2.01,5.016,90,0.94,0.984,270,2.39,0.984,270,3.84,0.984,270,7,6
14,1.91,3.166,90,3.36,3.166,90,1.91,1.266,90,3.36,1.266,90,4.81,1.266,90,7,6
15,3.166,3.99,0,3.166,2.54,0,1.266,4.69,0,1.266,3.24,0,1.266,1.79,0,7,6
16,7.735,2.505,180,6.26,3.485,270,4.81,3.485,270,5.86,1.566,90,4.41,1.566,90,9,5
17,6.755,1.115,90,7.735,2.59,180,7.735,4.04,180,5.816,4.44,0,5.816,2.99,0,9,5
18,3.61,4.016,90,5.06,4.016,90,3.31,0.985,270,4.76,0.985,270,6.21,0.985,270,9,5
19,5.435,4.06,180,5.434,2.61,180,8.015,3.86,0,8.015,2.41,0,8.015,0.96,0,9,5
20,5.534,2.61,180,5.534,1.16,180,7.735,4.04,180,7.735,2.59,180,7.735,1.14,180,9,5
21,4.06,3.016,90,6.06,3.016,90,8.06,3.016,90,6.06,1.266,90,8.06,1.266,90,9,5
22,3.57,4.235,270,5.02,4.235,270,2.73,2.315,90,4.18,2.315,90,5.63,2.315,90,8.5,6.5
23,4.23,1.265,90,5.935,2.93,180,5.935,4.38,180,2.565,2.97,0,2.565,4.42,0,8.5,6.5
24,7.516,3.59,0,7.516,1.79,0,0.984,4.16,180,0.984,2.36,180,0.984,0.56,180,8.5,6.5
25,3.06,2.616,90,5.06,2.616,90,2.44,0.984,270,4.44,0.984,270,6.44,0.984,270,8.5,6.5
26,6.066,2.39,0,6.066,0.94,0,1.766,4.39,0,1.766,2.94,0,1.766,0.94,0,8.5,6.5
27,2.44,3.584,270,6.44,3.584,270,2.44,1.834,270,4.44,1.834,270,6.44,1.834,270,8.5,6.5
28,1.265,3.82,0,2.93,2.84,90,4.38,2.84,90,4.42,4.76,270,2.97,4.76,270,9.5,6
29,7.32,4.735,270,6.34,3.07,0,6.34,1.62,0,8.26,1.58,180,8.26,3.03,180,9.5,6
30,5.83,5.015,90,7.28,5.015,90,8.73,5.015,90,7.32,3.235,270,8.77,3.235,270,9.5,6
31,2.465,5.27,0,2.465,2.37,0,0.985,5.23,180,0.985,3.78,180,0.985,2.33,180,9.5,6
32,1.235,5.23,180,4.735,5.23,180,8.235,5.23,180,8.235,2.98,180,8.235,0.73,180,9.5,6
33,0.77,4.735,270,4.77,4.735,270,8.77,4.735,270,0.77,0.985,270,8.77,0.985,270,9.5,6